"agent_number","trial","eyes","legs","spots","arms","color","choices","dangerous","accuracy","rates","agent_types"
"2","15","0","1","1","0","1","0","0","1","0.473066081013665","both_good"
"2","16","1","1","0","1","1","1","0","0","0.860631934767083","both_good"
"2","17","0","1","1","0","0","1","0","0","0.86968369924818","both_good"
"2","18","1","1","1","1","1","1","1","1","0.975646286345663","both_good"
"2","19","0","0","1","1","1","0","0","1","0.0546541914609563","both_good"
"2","20","1","1","1","0","1","1","1","1","0.975646286345663","both_good"
"2","21","1","1","0","0","0","1","0","0","0.87813247055975","both_good"
"2","22","1","0","1","0","1","1","1","1","0.975646286345663","both_good"
"2","23","1","0","1","1","0","1","1","1","0.963603321507892","both_good"
"2","24","0","0","1","1","0","1","0","0","0.881697564693843","both_good"
"2","25","1","0","0","1","0","1","0","0","0.86441091402655","both_good"
"2","26","0","0","1","0","0","1","0","0","0.860631934767083","both_good"
"2","27","1","0","0","1","1","1","0","0","0.86968369924818","both_good"
"2","28","1","1","0","0","1","0","0","1","0.0328749142012068","both_good"
"2","29","0","1","1","1","1","0","0","1","0.847187256300895","both_good"
"2","30","0","1","0","0","1","0","0","1","0.12186752944025","both_good"
"2","31","1","0","0","0","0","1","0","0","0.526933918986335","both_good"
"2","32","0","0","0","1","1","0","0","1","0.152812743699105","both_good"
"3","1","0","0","1","0","0","0","0","1",NA,"both_good"
"3","2","1","0","0","1","1","0","0","1",NA,"both_good"
"3","3","1","1","0","1","0","0","0","1",NA,"both_good"
"3","4","0","1","1","0","0","1","0","0",NA,"both_good"
"3","5","1","1","0","0","0","0","0","1",NA,"both_good"
"3","6","0","1","1","1","1","1","0","0",NA,"both_good"
"3","7","1","1","1","0","0","1","1","1",NA,"both_good"
"3","8","0","1","0","1","0","0","0","1","0.139368065232917","both_good"
"3","9","0","1","0","1","1","0","0","1","0.00484690940082956","both_good"
"3","10","1","1","0","0","1","1","0","0","0.5","both_good"
"3","11","1","0","0","1","0","0","0","1","0.0493426463320827","both_good"
"3","12","1","1","1","0","1","1","1","1","0.978029335286363","both_good"
"3","13","1","1","1","1","0","1","1","1","0.959626175153075","both_good"
"3","14","0","0","1","0","1","1","0","0","0.84355349306098","both_good"
"3","15","0","1","0","0","1","0","0","1","0.13031630075182","both_good"
"3","16","1","1","1","1","1","1","1","1","0.995517689476402","both_good"
"3","17","1","0","0","0","0","0","0","1","0.47367043684875","both_good"
"3","18","0","0","1","1","0","1","0","0","0.847187256300895","both_good"
"3","19","1","0","1","1","1","1","1","1","0.972948157838321","both_good"
"3","20","0","1","1","1","0","0","0","1","0.0243537136543369","both_good"
"3","21","0","0","0","0","1","0","0","1","0.166964823964778","both_good"
"3","22","1","0","0","0","1","0","0","1","0.472418093876011","both_good"
"3","23","1","0","1","1","0","1","1","1","0.975646286345663","both_good"
"3","24","0","0","0","1","0","0","0","1","0.163264071790367","both_good"
"3","25","0","0","0","0","0","0","0","1","0.00448231052359839","both_good"
"3","26","1","0","1","0","0","1","1","1","0.995517689476402","both_good"
"3","27","0","1","1","0","1","0","0","1","0.52632956315125","both_good"
"3","28","0","0","0","1","1","0","0","1","0.143032889681297","both_good"
"3","29","1","1","0","1","1","0","0","1","0.446887179456945","both_good"
"3","30","0","0","1","1","1","1","0","0","0.847187256300895","both_good"
"3","31","0","1","0","0","0","0","0","1","0.166964823964778","both_good"
"3","32","1","0","1","0","1","1","1","1","0.995851042936299","both_good"
"4","1","1","1","1","0","1","1","1","1",NA,"both_good"
"4","2","0","1","0","1","0","1","0","0",NA,"both_good"
"4","3","0","1","0","0","1","1","0","0","0.5","both_good"
"4","4","0","1","0","0","0","0","0","1","0.00414895706370095","both_good"
"4","5","0","1","1","0","0","0","0","1","0.445645691722522","both_good"
"4","6","1","1","0","1","0","1","0","0","0.860631934767083","both_good"
"4","7","1","0","1","1","1","1","1","1","0.975646286345663","both_good"
"4","8","1","0","1","0","1","1","1","1","0.978029335286363","both_good"
"4","9","0","0","1","0","1","1","0","0","0.889466437760751","both_good"
"4","10","1","0","0","1","1","1","0","0","0.860631934767083","both_good"
"4","11","1","0","1","0","0","1","1","1","0.975646286345663","both_good"
"4","12","1","0","0","0","0","0","0","1","0.0448766708691192","both_good"
"4","13","0","0","0","0","0","0","0","1","0.13558908597345","both_good"
"4","14","0","1","1","1","1","1","0","0","0.853410811502145","both_good"
"4","15","0","0","1","1","1","0","0","1","0.0243537136543369","both_good"
"4","16","0","0","1","1","0","0","0","1","0.027051842161679","both_good"
"4","17","1","1","1","1","0","1","1","1","0.959626175153075","both_good"
"4","18","0","0","1","0","0","0","0","1","0.0243537136543369","both_good"
"4","19","0","0","0","0","1","0","0","1","0.12186752944025","both_good"
"4","20","1","1","1","1","1","1","1","1","0.995851042936299","both_good"
"4","21","0","1","0","1","1","0","0","1","0.0073160500917529","both_good"
"4","22","0","1","1","1","0","0","0","1","0.5","both_good"
"4","23","0","0","0","1","1","1","0","0","0.152812743699105","both_good"
"4","24","0","1","1","0","1","1","0","0","0.526933918986335","both_good"
"4","25","1","1","1","0","0","1","1","1","0.959626175153075","both_good"
"4","26","1","1","0","0","1","1","0","0","0.850938340153917","both_good"
"4","27","1","0","0","1","0","0","0","1","0.0493426463320827","both_good"
"4","28","1","0","0","0","1","0","0","1","0.036396678492108","both_good"
"4","29","1","1","0","0","0","0","0","1","0.0448766708691192","both_good"
"4","30","1","0","1","1","0","1","1","1","0.963603321507892","both_good"
"4","31","1","1","0","1","1","0","0","1","0.036396678492108","both_good"
"4","32","0","0","0","1","0","1","0","0","0.163264071790367","both_good"
"5","1","1","0","0","0","0","0","0","1",NA,"both_good"
"5","2","0","1","0","1","0","1","0","0",NA,"both_good"
"5","3","0","0","0","1","1","1","0","0",NA,"both_good"
"5","4","0","1","1","1","0","0","0","1",NA,"both_good"
"5","5","0","1","1","1","1","1","0","0",NA,"both_good"
"5","6","1","0","1","1","1","1","1","1",NA,"both_good"
"5","7","0","0","0","1","0","0","0","1","0.143032889681297","both_good"
"5","8","0","0","1","0","1","1","0","0","0.5","both_good"
"5","9","0","1","1","0","0","1","0","0","0.036396678492108","both_good"
"5","10","0","1","1","0","1","0","0","1","0.027051842161679","both_good"
"5","11","0","1","0","0","1","0","0","1","0.126641232553514","both_good"
"5","12","0","1","0","0","0","0","0","1","0.00414895706370095","both_good"
"5","13","1","0","1","0","0","1","1","1","0.990724623612176","both_good"
"5","14","0","0","1","1","1","1","0","0","0.52632956315125","both_good"
"5","15","1","1","0","1","0","1","0","0","0.856967110318704","both_good"
"5","16","1","1","1","1","0","0","1","0","0.955123329130881","both_good"
"5","17","1","0","0","1","0","0","0","1","0.027051842161679","both_good"
"5","18","0","0","1","0","0","1","0","0","0.847187256300895","both_good"
"5","19","1","1","0","1","1","1","0","0","0.87813247055975","both_good"
"5","20","1","0","0","1","1","0","0","1","0.0243537136543369","both_good"
"5","21","1","1","0","0","1","1","0","0","0.036396678492108","both_good"
"5","22","1","0","1","1","0","1","1","1","0.978029335286363","both_good"
"5","23","0","0","0","0","1","0","0","1","0.13031630075182","both_good"
"5","24","1","0","1","0","1","1","1","1","0.992683949908247","both_good"
"5","25","1","1","1","1","1","1","1","1","0.99373521884916","both_good"
"5","26","1","1","1","0","0","1","1","1","0.99373521884916","both_good"
"5","27","0","1","0","1","1","0","0","1","0.00626478115083963","both_good"
"5","28","0","0","0","0","0","0","0","1","0.00927537638782412","both_good"
"5","29","1","1","1","0","1","1","1","1","0.995517689476402","both_good"
"5","30","1","1","0","0","0","1","0","0","0.526933918986335","both_good"
"5","31","1","0","0","0","1","0","0","1","0.0403738248469247","both_good"
"5","32","0","0","1","1","0","1","0","0","0.84355349306098","both_good"
"6","1","0","0","1","0","1","1","0","0",NA,"both_good"
"6","2","1","0","0","1","0","1","0","0",NA,"both_good"
"6","3","0","0","1","1","0","0","0","1",NA,"both_good"
"6","4","1","0","1","1","0","0","1","0",NA,"both_good"
"6","5","1","1","1","0","1","1","1","1","0.978029335286363","both_good"
"6","6","1","1","0","0","0","1","0","0","0.86968369924818","both_good"
"6","7","0","1","0","0","0","0","0","1","0.126641232553514","both_good"
"6","8","0","0","0","1","1","0","0","1","0.00858863364276062","both_good"
"6","9","1","0","0","0","0","0","0","1","0.5","both_good"
"6","10","1","1","0","1","1","0","0","1","0.0546541914609563","both_good"
"6","11","0","1","1","0","1","1","0","0","0.873358767446486","both_good"
"6","12","1","0","0","1","1","1","0","0","0.856967110318704","both_good"
"6","13","1","1","1","0","0","1","1","1","0.978029335286363","both_good"
"6","14","0","0","0","0","1","0","0","1","0.13031630075182","both_good"
"6","15","0","0","0","0","0","0","0","1","0.00448231052359839","both_good"
"6","16","0","1","1","1","1","0","0","1","0.5","both_good"
"6","17","0","1","1","0","0","0","0","1","0.0448766708691192","both_good"
"6","18","1","0","1","0","1","1","1","1","0.963603321507892","both_good"
"6","19","0","0","0","1","0","0","0","1","0.143032889681297","both_good"
"6","20","0","1","1","1","0","0","0","1","0.446887179456945","both_good"
"6","21","0","1","0","1","1","0","0","1","0.13031630075182","both_good"
"6","22","1","1","1","1","1","1","1","1","0.992683949908247","both_good"
"6","23","1","1","1","1","0","1","1","1","0.995517689476402","both_good"
"6","24","1","0","1","1","1","1","1","1","0.993233021866012","both_good"
"6","25","0","0","1","0","0","0","0","1","0.52632956315125","both_good"
"6","26","0","1","0","1","0","1","0","0","0.143032889681297","both_good"
"6","27","1","1","0","0","1","0","0","1","0.5","both_good"
"6","28","1","0","1","0","0","1","1","1","0.963603321507892","both_good"
"6","29","0","0","1","1","1","1","0","0","0.856967110318704","both_good"
"6","30","1","0","0","0","1","1","0","0","0.860631934767083","both_good"
"6","31","0","1","0","0","1","0","0","1","0.13031630075182","both_good"
"6","32","1","1","0","1","0","0","0","1","0.5","both_good"
"7","1","1","0","0","1","0","1","0","0",NA,"both_good"
"7","2","0","1","0","0","1","0","0","1",NA,"both_good"
"7","3","1","1","0","1","1","0","0","1",NA,"both_good"
"7","4","0","1","1","0","0","1","0","0",NA,"both_good"
"7","5","1","0","0","0","0","0","0","1",NA,"both_good"
"7","6","0","1","1","1","0","1","0","0",NA,"both_good"
"7","7","1","0","0","1","1","0","0","1",NA,"both_good"
"7","8","1","0","1","0","1","0","1","0",NA,"both_good"
"7","9","1","1","1","0","0","1","1","1","0.967125085798793","both_good"
"7","10","0","1","0","0","0","1","0","0","0.178180486250775","both_good"
"7","11","1","1","1","0","1","1","1","1","0.995517689476402","both_good"
"7","12","0","1","0","1","1","0","0","1","0.00676697813398763","both_good"
"7","13","0","0","0","1","1","0","0","1","0.00414895706370095","both_good"
"7","14","1","1","0","1","0","1","0","0","0.5","both_good"
"7","15","1","1","0","0","1","0","0","1","0.0448766708691192","both_good"
"7","16","0","0","1","0","1","0","0","1","0.860631934767083","both_good"
"7","17","1","0","1","0","0","1","1","1","0.959626175153075","both_good"
"7","18","1","1","1","1","0","1","1","1","0.967125085798793","both_good"
"7","19","0","1","0","1","0","1","0","0","0.178180486250775","both_good"
"7","20","0","0","1","0","0","0","0","1","0.5","both_good"
"7","21","1","1","0","0","0","1","0","0","0.860631934767083","both_good"
"7","22","1","0","1","1","0","1","1","1","0.975646286345663","both_good"
"7","23","0","0","0","0","1","0","0","1","0.143032889681297","both_good"
"7","24","0","0","1","1","1","1","0","0","0.5","both_good"
"7","25","1","0","1","1","1","1","1","1","0.9698844693934","both_good"
"7","26","0","1","1","1","1","0","0","1","0.027051842161679","both_good"
"7","27","1","1","1","1","1","1","1","1","0.9698844693934","both_good"
"7","28","0","1","1","0","1","0","0","1","0.027051842161679","both_good"
"7","29","0","0","0","1","0","0","0","1","0.15644650693902","both_good"
"7","30","0","0","0","0","0","0","0","1","0.0038438156518521","both_good"
"7","31","0","0","1","1","0","0","0","1","0.445645691722522","both_good"
"7","32","1","0","0","0","1","1","0","0","0.856967110318704","both_good"
"8","1","1","1","1","1","1","0","1","0",NA,"both_good"
"8","2","1","1","0","0","1","0","0","1",NA,"both_good"
"8","3","0","1","1","0","1","1","0","0","0.5","both_good"
"8","4","1","0","0","0","0","0","0","1","0.84355349306098","both_good"
"8","5","0","1","1","1","0","1","0","0","0.86968369924818","both_good"
"8","6","1","1","0","1","0","1","0","0","0.850938340153917","both_good"
"8","7","1","0","1","1","1","1","1","1","0.975646286345663","both_good"
"8","8","1","0","0","1","0","0","0","1","0.027051842161679","both_good"
"8","9","0","1","1","0","0","1","0","0","0.84355349306098","both_good"
"8","10","0","0","0","0","0","0","0","1","0.13031630075182","both_good"
"8","11","1","0","0","0","1","1","0","0","0.86968369924818","both_good"
"8","12","0","1","0","0","0","0","0","1","0.133886589492378","both_good"
"8","13","0","0","1","0","1","0","0","1","0.526933918986335","both_good"
"8","14","1","0","1","0","0","1","1","1","0.959626175153075","both_good"
"8","15","0","1","0","1","0","0","0","1","0.15644650693902","both_good"
"8","16","1","1","1","0","0","1","1","1","0.995517689476402","both_good"
"8","17","1","1","0","0","0","0","0","1","0.527581906123989","both_good"
"8","18","1","0","1","1","0","1","1","1","0.963603321507892","both_good"
"8","19","0","0","0","1","0","1","0","0","0.163264071790367","both_good"
"8","20","1","1","0","1","1","0","0","1","0.5","both_good"
"8","21","0","1","0","1","1","0","0","1","0.118302435306157","both_good"
"8","22","1","1","1","0","1","1","1","1","0.990724623612176","both_good"
"8","23","0","0","0","0","1","0","0","1","0.00676697813398763","both_good"
"8","24","0","1","1","1","1","0","0","1","0.526933918986335","both_good"
"8","25","1","0","1","0","1","1","1","1","0.975646286345663","both_good"
"8","26","0","1","0","0","1","0","0","1","0.139368065232917","both_good"
"8","27","0","0","1","1","1","1","0","0","0.526933918986335","both_good"
"8","28","0","0","1","0","0","0","0","1","0.0403738248469247","both_good"
"8","29","0","0","0","1","1","0","0","1","0.152812743699105","both_good"
"8","30","0","0","1","1","0","1","0","0","0.473066081013665","both_good"
"8","31","1","0","0","1","1","1","0","0","0.860631934767083","both_good"
"8","32","1","1","1","1","0","1","1","1","0.950657353667917","both_good"
"9","1","0","1","0","1","1","0","0","1",NA,"both_good"
"9","2","0","0","1","0","1","1","0","0",NA,"both_good"
"9","3","1","0","1","0","0","1","1","1",NA,"both_good"
"9","4","1","1","1","1","1","1","1","1","0.990900690260526","both_good"
"9","5","1","1","1","0","1","1","1","1","0.972948157838321","both_good"
"9","6","0","1","0","0","1","0","0","1","0.149061659846083","both_good"
"9","7","0","1","0","0","0","0","0","1","0.00448231052359839","both_good"
"9","8","1","1","0","1","0","0","0","1","0.473066081013665","both_good"
"9","9","1","1","1","1","0","1","1","1","0.955123329130881","both_good"
"9","10","0","0","0","1","1","0","0","1","0.143032889681297","both_good"
"9","11","0","0","1","0","0","1","0","0","0.5","both_good"
"9","12","1","0","0","0","1","0","0","1","0.833035176035222","both_good"
"9","13","1","0","1","0","1","1","1","1","0.939350947778358","both_good"
"9","14","1","0","0","1","0","0","0","1","0.036396678492108","both_good"
"9","15","0","1","1","0","1","1","0","0","0.87813247055975","both_good"
"9","16","1","0","0","1","1","0","0","1","0.86968369924818","both_good"
"9","17","0","1","1","1","1","1","0","0","0.847187256300895","both_good"
"9","18","1","0","1","1","0","1","1","1","0.963603321507892","both_good"
"9","19","0","0","0","1","0","0","0","1","0.163264071790367","both_good"
"9","20","1","0","1","1","1","1","1","1","0.995517689476402","both_good"
"9","21","0","1","1","1","0","1","0","0","0.473066081013665","both_good"
"9","22","0","0","0","0","0","0","0","1","0.143032889681297","both_good"
"9","23","1","1","0","0","1","0","0","1","0.856967110318704","both_good"
"9","24","0","0","1","1","0","0","0","1","0.87813247055975","both_good"
"9","25","1","0","0","0","0","1","0","0","0.847187256300895","both_good"
"9","26","0","1","1","0","0","1","0","0","0.833035176035222","both_good"
"9","27","1","1","1","0","0","1","1","1","0.939350947778358","both_good"
"9","28","1","1","0","0","0","1","0","0","0.86441091402655","both_good"
"9","29","1","1","0","1","1","0","0","1","0.036396678492108","both_good"
"9","30","0","0","1","1","1","1","0","0","0.833035176035222","both_good"
"9","31","0","1","0","1","0","0","0","1","0.152812743699105","both_good"
"9","32","0","0","0","0","1","0","0","1","0.00858863364276062","both_good"
"10","1","0","1","0","1","0","0","0","1",NA,"both_good"
"10","2","0","0","0","1","0","0","0","1",NA,"both_good"
"10","3","1","0","0","1","0","0","0","1",NA,"both_good"
"10","4","1","1","1","1","0","0","1","0",NA,"both_good"
"10","5","1","1","0","1","0","0","0","1","0.027051842161679","both_good"
"10","6","0","1","1","0","1","1","0","0","0.86968369924818","both_good"
"10","7","1","1","1","0","0","1","1","1","0.959626175153075","both_good"
"10","8","1","0","1","0","1","1","1","1","0.959626175153075","both_good"
"10","9","0","1","1","0","0","0","0","1","0.0243537136543369","both_good"
"10","10","0","1","0","0","1","0","0","1","0.139368065232917","both_good"
"10","11","0","1","1","1","0","0","0","1","0.47367043684875","both_good"
"10","12","0","0","0","1","1","0","0","1","0.152812743699105","both_good"
"10","13","1","0","1","1","1","1","1","1","0.99515309059917","both_good"
"10","14","1","1","1","0","1","1","1","1","0.99373521884916","both_good"
"10","15","1","1","0","0","1","1","0","0","0.554354308277478","both_good"
"10","16","1","0","0","0","0","0","0","1","0.036396678492108","both_good"
"10","17","1","0","0","1","1","0","0","1","0.036396678492108","both_good"
"10","18","0","0","1","1","0","1","0","0","0.833035176035222","both_good"
"10","19","0","0","1","1","1","0","0","1","0.0243537136543369","both_good"
"10","20","0","1","0","1","1","0","0","1","0.139368065232917","both_good"
"10","21","1","0","1","0","0","1","1","1","0.994195064710942","both_good"
"10","22","0","0","1","0","1","1","0","0","0.526933918986335","both_good"
"10","23","1","1","0","1","1","0","0","1","0.84355349306098","both_good"
"10","24","0","0","0","0","1","0","0","1","0.152812743699105","both_good"
"10","25","0","0","1","0","0","1","0","0","0.527581906123989","both_good"
"10","26","1","0","1","1","0","1","1","1","0.972948157838321","both_good"
"10","27","1","1","1","1","1","1","1","1","0.967125085798793","both_good"
"10","28","0","0","0","0","0","0","0","1","0.110533562239249","both_good"
"10","29","1","1","0","0","0","1","0","0","0.847187256300895","both_good"
"10","30","0","1","1","1","1","1","0","0","0.881697564693843","both_good"
"10","31","1","0","0","0","1","1","0","0","0.856967110318704","both_good"
"10","32","0","1","0","0","0","0","0","1","0.143032889681297","both_good"
"11","1","1","0","0","1","1","0","0","1",NA,"both_good"
"11","2","1","0","0","0","0","0","0","1",NA,"both_good"
"11","3","1","1","1","0","1","1","1","1",NA,"both_good"
"11","4","0","0","0","1","1","0","0","1","0.152812743699105","both_good"
"11","5","1","1","1","1","0","1","1","1","0.995851042936299","both_good"
"11","6","0","0","0","0","1","0","0","1","0.0038438156518521","both_good"
"11","7","0","0","1","0","0","1","0","0","0.473066081013665","both_good"
"11","8","1","0","1","0","1","1","1","1","0.945345808539044","both_good"
"11","9","1","1","0","1","0","1","0","0","0.84355349306098","both_good"
"11","10","0","0","1","0","1","1","0","0","0.889466437760751","both_good"
"11","11","0","0","1","1","1","0","0","1","0.027051842161679","both_good"
"11","12","0","1","1","0","0","0","0","1","0.0493426463320827","both_good"
"11","13","0","1","0","0","0","0","0","1","0.118302435306157","both_good"
"11","14","0","1","0","1","0","0","0","1","0.0038438156518521","both_good"
"11","15","0","1","1","0","1","1","0","0","0.526933918986335","both_good"
"11","16","0","0","1","1","0","0","0","1","0.0493426463320827","both_good"
"11","17","0","1","1","1","1","0","0","1","0.036396678492108","both_good"
"11","18","0","0","0","0","0","0","0","1","0.166964823964778","both_good"
"11","19","1","1","1","0","0","1","1","1","0.963603321507892","both_good"
"11","20","1","0","0","0","1","1","0","0","0.856967110318704","both_good"
"11","21","1","0","1","0","0","1","1","1","0.972948157838321","both_good"
"11","22","1","1","0","0","1","0","0","1","0.0243537136543369","both_good"
"11","23","0","1","0","0","1","0","0","1","0.118302435306157","both_good"
"11","24","1","1","0","1","1","0","0","1","0.446887179456945","both_good"
"11","25","1","1","0","0","0","0","0","1","0.0403738248469247","both_good"
"11","26","1","1","1","1","1","1","1","1","0.950657353667917","both_good"
"11","27","0","0","0","1","0","0","0","1","0.143032889681297","both_good"
"11","28","1","0","0","1","0","0","0","1","0.445645691722522","both_good"
"11","29","1","0","1","1","1","1","1","1","0.972948157838321","both_good"
"11","30","1","0","1","1","0","1","1","1","0.9698844693934","both_good"
"11","31","0","1","1","1","0","0","0","1","0.860631934767083","both_good"
"11","32","0","1","0","1","1","0","0","1","0.13031630075182","both_good"
"12","1","1","0","0","0","0","0","0","1",NA,"both_good"
"12","2","1","0","0","1","1","1","0","0",NA,"both_good"
"12","3","1","1","1","1","0","0","1","0",NA,"both_good"
"12","4","0","1","1","0","1","1","0","0","0.86968369924818","both_good"
"12","5","0","1","0","1","1","1","0","0","0.149061659846083","both_good"
"12","6","1","0","1","1","0","1","1","1","0.99373521884916","both_good"
"12","7","0","0","1","0","0","0","0","1","0.553112820543055","both_good"
"12","8","0","1","1","1","1","0","0","1","0.0493426463320827","both_good"
"12","9","1","1","1","1","1","1","1","1","0.955123329130881","both_good"
"12","10","1","1","1","0","0","1","1","1","0.963603321507892","both_good"
"12","11","1","0","0","0","1","1","0","0","0.856967110318704","both_good"
"12","12","1","0","1","0","1","1","1","1","0.955123329130881","both_good"
"12","13","1","0","1","0","0","1","1","1","0.972948157838321","both_good"
"12","14","1","1","0","1","0","0","0","1","0.0493426463320827","both_good"
"12","15","1","0","0","1","0","0","0","1","0.027051842161679","both_good"
"12","16","0","1","1","0","0","0","0","1","0.86968369924818","both_good"
"12","17","1","0","1","1","1","1","1","1","0.967125085798793","both_good"
"12","18","0","0","1","1","0","0","0","1","0.0403738248469247","both_good"
"12","19","0","0","1","1","1","0","0","1","0.0301155306065996","both_good"
"12","20","1","1","0","0","0","1","0","0","0.853410811502145","both_good"
"12","21","1","1","0","1","1","1","0","0","0.0403738248469247","both_good"
"12","22","0","0","0","1","0","0","0","1","0.152812743699105","both_good"
"12","23","0","1","0","0","1","0","0","1","0.00858863364276062","both_good"
"12","24","0","0","0","0","1","0","0","1","0.00448231052359839","both_good"
"12","25","1","1","0","0","1","0","0","1","0.473066081013665","both_good"
"12","26","0","1","1","1","0","0","0","1","0.856967110318704","both_good"
"12","27","0","0","0","1","1","0","0","1","0.163264071790367","both_good"
"12","28","0","0","1","0","1","1","0","0","0.5","both_good"
"12","29","0","0","0","0","0","0","0","1","0.13031630075182","both_good"
"12","30","1","1","1","0","1","1","1","1","0.959626175153075","both_good"
"12","31","0","1","0","1","0","0","0","1","0.15644650693902","both_good"
"12","32","0","1","0","0","0","0","0","1","0.00448231052359839","both_good"
"13","1","1","1","1","0","1","0","1","0",NA,"both_good"
"13","2","0","1","0","0","0","0","0","1",NA,"both_good"
"13","3","0","0","1","0","0","1","0","0","0.5","both_good"
"13","4","1","0","0","1","0","1","0","0","0.847187256300895","both_good"
"13","5","0","0","1","1","0","1","0","0","0.836735928209633","both_good"
"13","6","1","0","1","0","0","1","1","1","0.945345808539044","both_good"
"13","7","1","1","1","1","0","1","1","1","0.959626175153075","both_good"
"13","8","1","0","1","0","1","1","1","1","0.950657353667917","both_good"
"13","9","1","1","0","0","0","1","0","0","0.856967110318704","both_good"
"13","10","0","1","0","0","1","0","0","1","0.139368065232917","both_good"
"13","11","0","0","0","0","1","0","0","1","0.00484690940082956","both_good"
"13","12","0","0","1","1","1","0","0","1","0.5","both_good"
"13","13","0","1","1","1","0","0","0","1","0.0328749142012068","both_good"
"13","14","1","0","1","1","1","1","1","1","0.975646286345663","both_good"
"13","15","1","1","0","1","0","1","0","0","0.836735928209633","both_good"
"13","16","0","0","0","1","1","0","0","1","0.163264071790367","both_good"
"13","17","0","1","0","1","1","0","0","1","0.00448231052359839","both_good"
"13","18","1","1","1","0","0","1","1","1","0.991411366357239","both_good"
"13","19","1","1","0","1","1","1","0","0","0.445645691722522","both_good"
"13","20","0","0","0","0","0","0","0","1","0.166964823964778","both_good"
"13","21","1","0","0","0","1","0","0","1","0.036396678492108","both_good"
"13","22","1","0","1","1","0","1","1","1","0.963603321507892","both_good"
"13","23","1","1","1","1","1","1","1","1","0.963603321507892","both_good"
"13","24","1","1","0","0","1","0","0","1","0.027051842161679","both_good"
"13","25","0","1","1","0","0","1","0","0","0.847187256300895","both_good"
"13","26","1","0","0","1","1","1","0","0","0.87813247055975","both_good"
"13","27","0","1","1","0","1","0","0","1","0.86968369924818","both_good"
"13","28","0","0","0","1","0","0","0","1","0.15644650693902","both_good"
"13","29","0","1","1","1","1","0","0","1","0.554354308277478","both_good"
"13","30","0","0","1","0","1","1","0","0","0.036396678492108","both_good"
"13","31","0","1","0","1","0","0","0","1","0.166964823964778","both_good"
"13","32","1","0","0","0","0","0","0","1","0.47367043684875","both_good"
